Botanical Name,Common Name,Family,Plant Type,Origin,Maintenance,Height,Width,Light,Bloom season,Water needs,Soil,Tolerant,Toxicity,Hardiness (USDA),Bloom color,Common Name,Synonyms,Genus,Type,Native Range,USDA Hardiness Zones,Mature Size,Bloom Time,Foliage,Propagation methods,Sun,Synonym,Blooms,Common Cultivars,Botanical name,Common Cultivars,Humidity,Cultivars,Common Varieties
Schlumbergera,,Cactaceae,,,,,,,,,Well-Drained,,Non-Toxic,,,Holiday Cactus,,,Cactus,Brazil,,,Easter to Christmas,Evergreen,"by seeds, by cuttings",Partial shade,"Epiphyllanthus, Opuntiopsis, Zygocactus, Zygocereus, Epiphyllum",,,,,,,
,Delosperma ‘Jewel of the Desert Opal’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Full sun,"Spring, Summer, Fall, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,Non-Toxic,5-10,,,,,,,,,,,,,,,,,,,,
Crassula muscosa,,Crassulaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Watch Chain Plant, Watch Chain Succulent, Watch-Chain Cypress, Moss Cypress, Princess Pine, Rattail Crassula, Toy Cypress","Crassula lycopodioides, Crassula pseudolycopodioides",Crassula,Succulent,"South Africa, Namibia",9a to 10b,15 to 20 cm,Spring,Evergreen,"by seeds, by cuttings",Full sun to Part shade,,,,,,,,
Guzmania lingulata,,Bromeliaceae,,,,,,,,,"Loamy, well-drained",,Non-Toxic,,,"Droophead Tufted Airplant, Orange Star plant, Scarlet Star, Vase Plant","Tillandsia lingulata, Caraguata lingulata, Guzmania cardinalis, Guzmania minor, Caraguata splendens, Guzmania peacockii",Guzmania,Epiphyte,Tropical Americas,10 to 12,Height: 1-2 feet; Spread: 1-2 feet,Summer,Evergreen,by offsets,Partial shade,,,,,,,,
Agave striata,Narrow Leaf Century Plant,Asparagaceae,Succulent,Northeastern Mexico,Low,1-2 feet,2-3 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Rabbit, Dry Soil",Mildly-toxic,7-11,Pale yellow,,,,,,,,,,,,,,,,,,,
Epipremnum pinnatum ‘N’Joy’,"NJoy Pothos, N’Joy Pothos",Araceae,Evergreen Vine,Asia,Low,10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Slightly Moist",,Toxic,10-11,,,,,,,,,,,,,,,,,,,,
Agave desmettiana ‘Variegata’,Smooth Agave,Asparagaceae,Succulent,Garden Origin,Low,2-3 feet,3-4 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Lithops,,Aizoaceae,,,,,,,,,Well-drained,,Non-toxic,,,"Living Stone, Pebble Plants",,,Succulent,Southern Africa,9A to 11,"Height: 1 inch, Spread: 1-3 inches",Autumn and Early Winter,Evergreen,"by seeds, by cuttings",Full sun to Partial shade,,,"Jackson’s Jade, Rubra, Mickbergensis, Aquamarine",,,,,
Schlumbergera gaertneri (Previously Hatiora gaertneri),,Cactaceae,,,,,,,,,Well-Drained,,Non-Toxic,,,"Easter Cactus, Holiday Cactus, Whitsun","Epiphyllum gaertneri, Epiphyllum makoyanum, Epiphyllum russellianum, Hatiora gaertneri, Rhipsalidopsis gaertneri, Rhipsalis gaertneri",Schlumbergera,Cactus,Brazil,10 to 12,"Height: 0.5-1 feet, Spread: 1-2 feet",Spring,Evergreen,"by seeds, by cuttings",Partial Shade,,,,,,,,
,Delosperma ‘Jewel of the Desert Peridot’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Full sun,"Spring (Late), Summer, Autumn, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,5-10,,,,,,,,,,,,,,,,,,,,
Agave vilmoriniana,Octopus Agave,Asparagaceae,Succulent,Mexico,Low,3-4 feet,5-6 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,9-11,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Epipremnum aureum ‘Shangri La’,Shangri La Pothos,Araceae,Evergreen Vine,Garden Origin,Low,2-3 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,,,,,,,,,,,,,,,,,,,,,
Delosperma cooperi ‘Wheels of Wonder – Violet Wonder’,Delosperma ‘Violet Wonder’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Full sun,"Spring (Late), Summer, Autumn, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,6-10,,,,,,,,,,,,,,,,,,,,
Crassula perforata,String of Buttons,Crassulaceae,Succulent,South Africa,Low,1-2 feet ,2-3 feet,"Bright, Indirect Light",Spring,Low,"Well-Drained, Loamy",Drought,Toxic,9-12,,,,,,,,,,,,,,,,,,,,
Agave havardiana,Havard Agave,Asparagaceae,Succulent,"Texas, Mexico",Low,2-3 feet,3-5 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Dry or Rocky Soil",non-toxic,5-10,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Alocasia × amazonica,,Araceae,,,,,,,,,"Moist, Well-drained",,Severely Toxic,,,"Elephant Ear Plant, African Mask Plant",,Alocasia,Bulb,Garden Origin,10 to 12,Height: 1-2 feet; Spread: 1-2 feet,"Summer, Spring",Evergreen,"by seeds, by division",Part shade,,,,,,,,
Austrocindropuntia subulata,Eve’s Needle Cactus,Cactaceae,Succulent,"Peruvian Andes, Bolivia, Argentina",Low,1-13 feet,1-5 feet,Full sun,,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Rabbit",non-toxic,9-11,"Red, Orange, Green",,,,,,,,,,,,,,,,,,,
Agave ‘Cream Spike’,Cream Spike Agave,Asparagaceae,Succulent,Garden Origin,Low,4 inches,6 inches ,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,8-11,Yellow,,,,,,,,,,,,,,,,,,,
Aeonium canariense,"Canary Island Aeonium, Giant Velvet Rose, Tree Aeonium",Crassulaceae,Succulent,Canary Islands,Low,2-3 feet,2-3 feet,"Full sun, Partial shade",Summer,Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Non-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Aeonium tabuliforme,"Dinner Plate Aeonium, Flat-topped Aeonium",Crassulaceae,Succulent,Canary Islands,Low,2-6 inches,1-2 feet,Full sun,Spring,Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought",Non-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Aeonium ‘Cyclops’,Giant Red Aeonium,Crassulaceae,Succulent,"Hybrid, Garden origin",Low,4-5 feet,3-4 feet,Full sun,"Late Winter, Early Spring",Low/Average,"Well-drained, Sandy/Loamy","Deer, Drought",No,9-11,Yellow Gold,,,,,,,,,,,,,,,,,,,
Aloe cameronii,Red Aloe,Asphodelaceae,Succulent,Africa,Low,1-2 feet,2-4 feet,Full sun,"Spring, Winter",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Non-toxic,9-12,"Red, Orange",,,,,,,,,,,,,,,,,,,
Phalaenopsis amabilis,,Orchidaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Moon Orchid, Moth Orchid, Phalaenopsis Orchid",Epidendrum amabileCymbidium amabileSynadena amabilis,Phalaenopsis,"Herbaceous, perennial","East Indies, Australia",,up to 4 feet,April to December,Evergreen,"by cuttings, by offshoots",Part shade,,,,,,,,
Lithops pseudotruncatella,,Aizoaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Truncate Living Stone,"Lithops alpina Dinter, Lithops elisabethiae, Lithops mundtii, Lithops pseudotruncatella var. alpina, Lithops pseudotruncatella var. riehmerae, Lithops pseudotruncatella subsp. volkii Mesembryanthemum pseudotruncatellum",Lithops,Succulent,Namibia,10a to 11b,up to 10 cm,"Summer, Autumn",Evergreen,"by seeds, by offsets",Full sun to part shade,,,,,,,,
Aloe rubroviolacea,Arabian Aloe,Asphodelaceae,Succulent," Yemen, Saudi Arabia",Low,2-3 feet,4-6 feet,Full sun,Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,Red,,,,,,,,,,,,,,,,,,,
Agave desmetiana ‘Joe Hoak’,Agave ‘Joe Hoak’,Asparagaceae,Succulent,Garden Origin,Low,2-3 feet,3-4 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Delosperma cooperi,"Delosperma cooperi, Ice Plant, Hardy Ice Plant",Aizoaceae,Succulent,Garden Origin,Low,3-6 inches,1-2 feet ,Full sun,"Summer, Autumn","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,6-10,,,,,,,,,,,,,,,,,,,,
Delosperma cooperi ‘Wheels of Wonder – Hot Pink Wonder’,Delosperma ‘Hot Pink Wonder’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Full sun,"Spring (Late), Summer, Autumn, Winter (Early)","Low, Moderate","Well-Drained, Loamy",Drought,non-toxic,6-10,,,,,,,,,,,,,,,,,,,,
Epipremnum aureum ‘Jessenia’,Jessenia Pothos,Araceae,Evergreen Vine,South America,Low,10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,10-12,,,,,,,,,,,,,,,,,,,,
Dasylirion Wheeleri ,Desert Spoon,Asparagaceae,"Cactus – Succulents, Shrubs","Mexico, United States",Low,3-4 feet,4-5 feet,Direct Light,Summer,Low,Well-Drained,Drought,Non-Toxic,8-11,,,,,,,,,,,,,,,,,,,,
"Aloidendron barberae (former name: Aloe bainesii, Aloe barberae)",Tree Aloe,Asphodelaceae,Succulent,South Africa,Low,20-30 feet,10-20 feet,"Full sun, Partial shade",Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Rocky Soil",non-toxic,9-11,Rose Pink (tipped with green),,,,,,,,,,,,,,,,,,,
Epipremnum Aureum ‘Harlequin’,Harlequin Pothos,Araceae,Evergreen Vine,Garden Origin,Low,10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,10-11,,,,,,,,,,,,,,,,,,,,
Aloe marlothii,Mountain Aloe,Asphodelaceae,Succulent,South Africa,Low,8-10 feet,4-6 feet,Full sun,Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-12,"Red, Yellow",,,,,,,,,,,,,,,,,,,
,Delosperma ‘Jewel Of The Desert Rosequartz’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,"Bright, Direct Light","Spring (Late), Summer, Autumn, Winter (Early)",Low,Well-Drained,Drought,Non-Toxic,5-10,,,,,,,,,,,,,,,,,,,,
,Delosperma ‘Jewel Of The Desert Grenade’,Aizoaceae,Succulent,South Africa,Low,4-6 inches,8-10 inches,Direct Light,"Spring (Late), Summer, Autumn, Winter (Early)",Low,Well-Drained,Drought,Non-Toxic,5-10,,,,,,,,,,,,,,,,,,,,
Agave shawii,Shaw’s Agave,Asparagaceae,Succulent,"Baja California, California",Low,2-3 feet,2-3 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,9-10,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Cryptanthus bivittatus,,Bromeliaceae,,,,,,,,,"Moist, Well–drained",,Non-toxic,,,"Dwarf Rose-Stripe Star, Earth Star plant, Green earth star, Pink Starlite, Starfish plant, Star Plant, Vary-leaf star",,Cryptanthus,Bromeliad,Brazil,10 to 12,Height: 0.25-0.50 feet; Spread: 0.50-1.00 feet,July to August,Evergreen,"by seeds, by offsets",Partial shade,,,,,,,,
Epipremnum pinnatum ‘Baltic Blue’ ,Baltic Blue Pothos,Araceae,Evergreen Vine,Southeast Asia,Low,10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,10-11,,,,,,,,,,,,,,,,,,,,
Aeonium decorum,Green Pinwheel,Crassulaceae,Succulent,Canary Islands,Low,1-2 feet,1-2 feet,"Full sun, Partial shade","Spring, Summer",Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Non-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Agave parryi,"Parry’s Agave, Mezcal Agave, Century Plant",Asparagaceae,Succulent,Americas,Low,1-3 feet,2-3 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,7-10,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Echeveria derenbergii,,Crassulaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Painted Lady Echeveria, Blue Echeveria, Copper Rose, Maroon Chenille Plant, Painted Lady, Painted-Lady, Plush Plant, Wax Rosette",,Echeveria,Succulent,Mexico,9a to 11b,Height: up to 4 inches; Spread: 20 to 30 inches,Year-round,Evergreen,by cuttings,Full sun to Part shade,,,,,,,,
Agave parrasana,Cabbage Head Agave,Asparagaceae,Succulent,Mexico,Low,1-2 feet,1-2 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,7-11,"Yellow, Gold",,,,,,,,,,,,,,,,,,,
Crassula capitella ‘Red Pagoda’,Crassula Red Pagoda,Crassula,Succulent,South Africa,Low,10 feet,2-3 feet,"Full sun, Partial Shade",Summer,Low,"Well-Drained, Loamy",Drought,Toxic,9-12,,,,,,,,,,,,,,,,,,,,
Dracaena sanderiana,,Asparagaceae,,,,,,,,,Moist,,Mildly Toxic,,,"Fortune plant, Sander’s dracaena, Ribbon plant, Lucky bamboo, Curly bamboo, Chinese water bamboo, Friendship bamboo","Dracaena braunii, Pleomele braunii, Pleomele sanderiana",Dracaena,Herbaceous perennial,West Central Tropical Africa to North East Angola,10 to 12,Height: 3-5 feet; Spread: 3-5 feet,Rarely flowers indoors,Evergreen,by stem cuttings,Partial shade to Full shade,,,,,,,,
Echinocactus grusonii,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Golden Barrel Cactus, Golden Ball Cactus, Mother-in-law’s-cushion, Mother-in-law’s-seat","Echinocactus corynacanthus, Echinocactus galeottii",Echinocactus,Cactus,Mexico,9a to 11b,Height: up to 2 inches; Spread: up to 3 inches,Summer,Evergreen,by seeds,Full sun to Part shade,,,,,,,,
Aeonium arboreum,"Tree Houseleek, Tree Aeonium, Irish Rose",Crassulaceae,Succulent,Canary Islands,Low,3-5 feet,3-5 feet,"Full sun, Partial shade",Spring,Low/Average,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Non-toxic,9-11,Yellow,,,,,,,,,,,,,,,,,,,
Epipremnum aureum ‘Global Green’,Global Green Pothos,Araceae,Evergreen Vine,Garden Origin,Low,5-10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,10-12,,,,,,,,,,,,,,,,,,,,
Monstera deliciosa,,Araceae,,,,,,,,,"Moist, Well–drained",,Moderately Toxic,,,"Swiss Cheese Plant, Ceriman, Hurricane Plant, Mexican Breadfruit, Mother-in-Law","Monstera borsigiana, Monstera deliciosa, Monstera deliciosa, Monstera tacanaensis, Philodendron anatomicum, Philodendron pertusum, Tornelia fragrans",Monstera,Vine,"Mexico, Central America",10 to 12,Height: 8-12 feet; Spread: 5-8 feet,"Spring, Summer",Evergreen,"by seed, by cuttings, by layering",Partial shade,,,"Variegata, Albovariegata",,,,,
Agave filifera,,Asparagaceae,,,,,,,,,Well-drained,,Mildly Toxic,,,"Thread Agave, Thread-leaf Agave","Agave filamentosa, Agave pseudofilifera, Bonapartea filamentosa",Agave,Succulent,Central Mexico,9 to 11,Height: 9-15 inches; Spread: 9-18 inches,Summer,Evergreen,by offsets,Full sun,,,,,,,,
Aloe x principis,Aloe principis,Asphodelaceae,Succulent,South Africa,Low,6-9 feet,3-6 feet,Full sun,Winter,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,"Red, Orange",,,,,,,,,,,,,,,,,,,
Mimosa pudica,,Fabaceae,,,,,,,,,"Moist, Well–drained",,Mildly Toxic,,,"Sensitive plant, Sleepy plant, Action plant, Touch-me-not Plant, Shameplant, Humble Plant",,Mimosa,Perennial,"Caribbean, South and Central America",,Up to 5 feet tall,Summer,Evergreen,"by seed, by cuttings",Full Sun to Partial shade,,,,,,,,
Crassula ovata,,Crassulaceae,,,,,,,,,"Dry, Good Drainage",,"toxic to humans, horses, dogs, and cats",,,"Jade Plant, Money Plant, Lucky Plant, Money Tree","Cotyledon lutea, Cotyledon ovata, Crassula argentea, Crassula articulata Zuccagni, Crassula nitida Schönland, Crassula obliqua Aiton, Crassula portulacea",Crassula,Succulent Evergreen,"South Africa, Mozambique",11 to 12,Height: 3-6 feet; Spread: 2-3 feet,Seasonal bloomer,Broadleaf Evergreen,"by seeds, by cuttings",Full sun or Partial Shade,,,,,"Red Dwarf Jade Plant, Gollum, Tricolor, Undulata, Hummel’s Sunset",,,
Aloe nobilis,Golden Toothed Aloe,Asphodelaceae,Succulent,South Africa,Low,6-12 inches,8-12 inches,"Full sun, Light shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,Orange,,,,,,,,,,,,,,,,,,,
Hedera helix,,Araliaceae,,,,,,,,,"Good Drainage, Moist",,Medium Severity,,,"Algerian Ivy, Baltic Ivy, Branching Ivy, California Ivy, Common Ivy, English Ivy, Glacier Ivy, Needlepoint Ivy, Sweetheart Ivy","Hedera burgalensis, Hedera caucasigena",Hedera,Vine,"Europe, Scandinavia, Russia",4 to 9,Height: 20-80 feet; Spread: 3-50 feet,September to October,Evergreen,by cuttings,"Full sun, Dappled Sun, Partial shade, Deep shade",,,,,"Angularis Aurea, Buttercup, Caecilia, Ceridwen, Congesta, Duckfoot, Glacier, Goldchild, Golden Ingot, Maple Leaf, Manda’s Crested, Midas Touch, Parsley Crested, Shamrock, Spetchley",,,
Philodendron gloriosum,,Araceae,Vine,South America,Low,3 feet,2 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,10-11,,,,,,,,,,,,,,,,,,,,
Aloe maculata,Soap Aloe,Asphodelaceae,Succulent,South Africa,Low,1-2 feet,1-2 feet,"Full sun, Part shade","Winter, Spring",Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",non-toxic,8-12,Coral Orange,,,,,,,,,,,,,,,,,,,
Cylindropuntia Echinocarpa ,Silver Cholla,Cactaceae,Cactus – Succulent,"United States, Northwestern Mexico",Low,6 – 10 feet,0.1 – 0.3 feet,"Bright, Direct sunlight","Spring, Summer",Low,Well-Drained,Drought,Non-Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Agave bracteosa,"Squid Agave, Spider Agave",Asparagaceae,Succulent,Mexico,Low,1 foot,1-2 feet,Full sun,Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",non-toxic,7-11,Creamy White,,,,,,,,,,,,,,,,,,,
Echeveria laui ,,Crassulaceae,Succulent,Mexico,Low,6 inches,5 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Aloe polyphylla,Spiral Aloe,Asphodelaceae,Succulent,Lesotho,Low,1 ft.,1-2 ft.,Full sun,"Spring, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-12,"Red, Pink",,,,,,,,,,,,,,,,,,,
,Echeveria ‘Frank Reinelt’ ,Crassulaceae,Succulent,Mexico,Low,3-4 inches,6-8 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
,Delosperma ‘Jewel Of The Desert Ruby’,Aizoaceae,Succulent,Garden Origin,Low,4-6 inches,8-10 inches,Bright Light,"Spring (Late), Summer, Autumn",Low,Well-Drained,Drought,Toxic,5-10,,,,,,,,,,,,,,,,,,,,
Echinopsis chamaecereus,,Cactaceae,,,,,,,,,Well-drained,,,,,Peanut Cactus,"Chamaecereus silvestrii,Lobivia silvestrii",Echinopsis,Cactus,Argentina,10a to 11b ,Height: up to 6 inches; Spread: up to 12 inches,"Spring, Summer",Evergreen,"by seeds, by offsets",Full sun,,,,,,,,
Epipremnum aureum ‘Snow Queen’ ,Snow Queen Pothos,Araceae,Evergreen Vine,Asia,Low,6-10 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,10-11,,,,,,,,,,,,,,,,,,,,
Cylindropuntia Imbricata ,Tree Cholla,Cactaceae,Cactus – Succulents,"Southwestern United States, Northwestern Mexico",Low,3-8 feet,0.8 feet,Bright light,"Spring, Summer",Low,Well-Drained,"Drought, Dry soil",Non-Toxic,5-11,,,,,,,,,,,,,,,,,,,,
Epipremnum pinnatum ‘Cebu Blue’,Cebu Blue Pothos,Araceae,Evergreen Vine,Asia,Low,10-40 feet,2-3 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Epipremnum aureum ‘Jade’,Jade Pothos,Araceae,Evergreen Vine,South Pacific,Low,20-40 feet,3-6 feet,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Slightly Moist",,Toxic,10-12,,,,,,,,,,,,,,,,,,,,
Astrophytum asterias,,Cactaceae,,,,,,,,,"Sandy, Well-drained",,Non-Toxic,,,"Star Cactus, Sand Dollar Cactus, Sea Urchin Cactus, Star Peyote",Echinocactus asterias,Astrophytum,Cactus,"Texas, Mexico",9 to 11,Height: up to 2 inches; Spread: up to 6 inches,Summer,,by seeds,"Full sun, Bright shade",,,"Akabana, Alpus, Elephant Sun, Feather Flower, Goryuu Kabuto, Superkabuto, Godzilla",,,,,
Ananas comosus,,Bromeliaceae,,,,,,,,,"Moist, Well-drained",,Low Severity,,,"Pineapple, bananas, pina","Bromelia ananas, Bromelia comosa, Distiacanthus communis",Ananas,"Fruit, perennial","Brazil, Tropical South America",10 to 12,Height: 3-4. feet; Spread: 3-4 feet,Seasonal bloomer,Evergreen,"by offset, by side shoot",Full sun to partial shade,,,,,"Hilo, Kona Sugarloaf, Natal queen, Pernambuco, Red Spanish, Smooth cayenne",,,
,Echeveria ‘Princess Lace’,Crassulaceae,Succulent,"Mexico, Texas, Americas",Low,6-24 inches,10-12 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Echeveria agavoides,Lipstick Echeveria,Crassulaceae,Succulent,Mexico,Low,6 inches,6-12 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Sempervivum tectorum,,Crassulaceae,,,,,,,,,Well-drained,,Non-Toxic,,,"Common Houseleek, Hens and Chicks, House Leek, Roof House Leek",,Sempervivum,Succulent,Southern Europe,3-8,Height: 6-8 inches; Spread: 6-8 inches,Summer,Evergreen,"by seeds, by offsets",Full sun to part shade,,,,,,,,
Saxifraga stolonifera,,Saxifragaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Strawberry Begonia,"Adenogyna sarmentosa, Diptera sarmentosa, Ligularia sarmentosa, Robertsonia sarmentosa, Saxifraga sarmentosa",Saxifraga,Herbaceous perennial,"China, Japan, South Korea, Taiwan",7 to 9,Height: 0.5-1.5 feet; Spread: 1-2 feet,May to June,Evergreen,"by seed, by plantlets",Part shade to Full shade,,,"Maroon Beauty, Tricolor",,,,,
Agave macroacantha,Black Spined Agave,Asparagaceae,Succulent,Mexico,Low,1-2 feet,2-4 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,8-11,"Purple, Green",,,,,,,,,,,,,,,,,,,
,Echeveria ‘Perle von Nurnberg’,Crassulaceae,Succulent,Mexico,Low,8-10 inches,6-8 inches,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",Drought,Non-toxic,9-12,,,,,,,,,,,,,,,,,,,,
Wallisia Cyanea,,Bromeliaceae,,,,,,,,,Orchid or Bark Mix,,Non-Toxic,,,Pink Quill,"Phytarrhiza lindenii,  Tillandsia cyanea, Tillandsia lindenii, Tillandsia morreniana, Wallisia lindenii", Wallisia,Epiphyte,Ecuador,,"Height: 10-20 inch, Spread: 10-20 inch","Spring, Autumn",Evergreen,"by seed, by offsets",Partial or dappled shade,,,,,,,,
Scindapsus pictus,"Satin pothos, Silk pothos, Silver pothos, Silver Vine",Araceae,Evergreen Vine,Southeast Asia,Low,4-10 feet,2-3 feet,"Bright, Indirect Light",Summer,"Low, Moderate","Well-Drained, Loamy",Drought,Toxic,10-12,,,,,,,,,,,,,,,,,,,,
Aloe vanbalenii,"Van Balen’s Aloe, Octopus Aloe",Asphodelaceae,Succulent,South Africa,Low,2-3 feet,3-4 feet,"Full sun, Partial Shade","Winter, Spring",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,"Yellow, Orange",,,,,,,,,,,,,,,,,,,
Agave attenuata,"Fox Tail Agave, Elephant’s Tail Agave, Lion’s Tail Agave, Swan’s Neck Agave",Asparagaceae,Succulent,Mexico,Low,5-6 feet,6-8 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought, Salt",Mildly-toxic,9-12,"Yellow, Green",,,,,,,,,,,,,,,,,,,
Aloe broomii,"Snake Aloe, Mountain Aloe",Asphodelaceae,Succulent,South Africa,Low,1-3 feet,1-3 feet,"Full sun, Light shade","Spring, Summer",Low,"Well-Drained, Loamy, Sandy","Deer, Drought",non-toxic,9-11,"Yellow, White",,,,,,,,,,,,,,,,,,,
Agave ovatifolia,Whale’s Tongue Agave ,Asparagaceae,Succulent,Mexico,Low,3-4 feet,4-6 feet,"Full sun, Partial shade",Summer,Low,"Well-Drained, Loamy, Sandy","Deer, Drought",Mildly-toxic,7-11,"Yellow, Green",,,,,,,,,,,,,,,,,,,
Mammillaria zeilmanniana,,Cactaceae,,,,,,,,,Well-drained,,Non-Toxic,,,Rose Pincushion Cactus,"Mammillaria crinita f. zeilmanniana, Neomammillaria zeilmanniana, Chilita zeilmanniana, Ebnerella zeilmanniana",Mammillaria,Cactus,Mexico,9 to 10,Height: up to 5 inches; Spread: up to 3 inches,Any time of the year,Evergreen,"by seeds, by offsets",Full sun to part shade,,,,,,,,
Philodendron ‘Birkin‘,Philodendron Birkin,Araceae,Vine,Central America,Low,3 feet,3 feet ,"Bright, Indirect Light","Spring, Summer","Low, Moderate","Well-Drained, Loamy",,Toxic,9-11,,,,,,,,,,,,,,,,,,,,
Platycerium bifurcatum,,Polypodiaceae,,,,,,,,,"Moist, Well–drained",,Non-Toxic,,,"Staghorn Fern, Common Staghorn Fern, Elkhorn Fern",,Platycerium,Epiphytic Fern,"Africa, Australia, Southeast Asia",9 to 13,Height: 2-3 feet; Spread: 2-3 feet,,Evergreen,"by spores, by offsets",Part shade,,,,,,,,
