Origin,Max Growth (approx),Poisonous for pets,Temperature,Light,Watering,Soil,Re-Potting,Fertilizer,Humidity,Propagation,Common Problems,Common Name,Botanical Name
Southeast Asia.,Height 6″ max.,Not confirmed.,"In their native countries the one colored paphiopedilum thrives in quite humid conditions which makes temperatures between 70-80°F (21-27°C) ideal without direct sun light. Temperatures will naturally drop during the night (and in winter), but do not allow them to drop lower than 50°F (10°C). Try and keep your plant away from cold drafts. In some climates it’s fine to give your paphiopedilum time outside, although in more northern territories I would advise against this because of the extreme changes in temperatures and rainfall (which can be fairly cold).","A fair amount of light is advised and for as many hours that nature can provide. Direct sunlight should be avoided, which can cause leaf and plant problems. During the winter your plant will enjoy being given a few hours artificial lighting. A north facing window can be lacking in enough light, and south facing during the summer is likely to provide too much direct sunlight. With the south facing windowsill just bring the plant back away from the window a foot or so, and for the north facing you may have to provide other artificial lighting (if your unable to provide anything in between these extremes). Try your best lighted spots and if your plant has flowering or leaf problems contact me for advice.","Keeping the soil moist is recommended and then re-watering again once it begins to dry. Watering with distilled or rain water, that’s tepid is advised.","There are many soil mixes that are fine, if they provide enough air space to the plant roots and drains well. Mixtures in stores that can be used may contain fir bark (or redwood bark or coco husk chips), perlite, and charcoal.","Quite simple, re-pot when necessary. A small amount of root showing through the drainage holes is fine, but any-more than that then I would re-pot with a slightly larger pot.",A balanced fertilizer should be used about once a week. This can be either a weak liquid or powered type.,Moderate to high humidity is preferred. Misting leaves regularly will help moisten the air alongside using a pebble tray that the orchid sits on. Providing good clean air circulation will support your plants growth.,Propagate paphiopedilum concolor plants by dividing – once it has matured enough (best in spring). You may need to do this once the plant gets too large and you could possibly create two new plants.,,"The one colored paphiopedilum, lady’s slipper", P. concolor (botanical/scientific).
Brazil. subtropics,"Height 18 in/45.7 cm, diameter 26 in/66 cm.",Non-toxic to cats and dogs.,"When the plant is young and growing you can re-pot in a container slightly bigger which can provide room for new growth. Once it matures you’ll only need to replace the soil once every 2 years, without re-potting.",Bright light without direct sunlight is preferable.  Shade if planted outside.,Average room temperatures between 65°F (18.3°C) – 75°F (24°C) are suitable and maintain temperatures around the 75°F (24°C) mark to bring flowers into bloom.,"A peat based potting mix, mixed with bark and perlite is a good mix or any other mix; if it drains well.",The average humidity indoors should be fine.,"Feed from May – September monthly with a diluted liquid fertilizer, which is added to the vase. You can also use foliar feed which is added to a misting bottle to spray on the leaves, but try not to overfeed by using both of these methods.","The urn plant produces offsets (pups) which can be removed from the parent plant when they’re at least 5 inches long. They must be removed when the parent plants’ foliage is dying down, although there is no rush – because the foliage dies down to provide the pups with the nutrients leaves were previously having from the main plant. These can be re-potted in a small container in moist potting soil.","The urn plant produces offsets (pups) which can be removed from the parent plant when they’re at least 5 inches long. They must be removed when the parent plants foliage is dying down, although there is no rush – because the foliage dies down to provide the pups with the nutrients leaves were previously having from the main plant. These can be re-potted in a small container in moist potting soil.",,Urn and pink or silver vase plant, Aechmea Fasciata (botanical/scientific)
Peru and Ecuador.,Height 24 in (60 cm).,Toxic to cats and dogs.,The winter cherry prefers cool temperatures of approximately 60-70°F (15-21°C) and 50-60°F (10-15°C) during winter. Avoid placing the plant near cold drafts.,"A lover of bright light, and some direct sunlight (not too much). Placed near a window that receives day time sun is advised.",Keep the soil moist to touch and water once the soil feels very slightly dry. At the end of winter until the start of spring allow the soil to become fairly dry before watering.,Most well draining soil-less potting mixes will suffice.,Re-pot at the end of winter and prune the plant.,Feed with a balanced fertilizer once a month until the berries have fell. Allow some time for rest (late winter – spring) without fertilizer and begin fertilizing again when new flower buds appear.,Average indoor humidity is fine at the temperatures stated above. To improve mist the leaves frequently.,The solanum capsicastrum can be propagated by seeds (early spring) or stem cuttings taken (late winter).,,Winter cherry, Solanum capsicastrum (botanical/scientific).
North Africa.,Height 1 – 2 ft.,Toxic for cats and dogs.,"Pilea cadierei requires a year-round temperature between 60-75 ºF (15-23 ºC). It can tolerate short periods of time outside of this temperature range, but continued exposure will kill the plant.","This plant requires at least four hours of indirect, but bright, sunlight a day. Do not permit this plant to be exposed to overly bright or direct sunlight. Too much sun will burn the leaves and cause the green parts to turn brown.","The Aluminum plant needs to be watered differently during different times of the year. During spring and summer, the top quarter inch of the soil should be kept moist. During fall and winter, allow the top quarter inch of soil to dry out before watering again. Do not permit water to stand in the saucer underneath the plant.",This plant prefers a sandy soil mixture to live in. Combine one part clean sand (or perlite) with two parts peat to provide the required soil content for continued health.,"Check the root density of Pilea cadierei every spring. If the roots are becoming overly dense, transplant the plant to a size larger pot. If you do not, the root system will break the container in an attempt to find more room to grow.",,"Normal air humidity will please this plant. If your home is overly dry during the winter, mist the leaves every other day with plain water.","This plant is propagated through cuttings. Take the cuttings in the early spring. Allow them to rest in a water source for one week, or until roots form. Then transplant to their own container of sandy soil mixture.",,Aluminum Plant, Pilea Cadierei (botanical/scientific).
Madagascar.,Height 8ft.,Non toxic for cats and dogs.,Average room temperatures of 65°F (16°C) — 75°F (24°C) are suitable and no lower than 55°F (12.7°C). Sudden cold temperature drops and cold drafts can cause the leaves to display brown spots.,A fairly bright room without direct sunlight is advised. Not enough light will slow growth and too much sun can scorch leaves.,"Allow the top soil to become dry between watering and do not overwater. Overwatering is the quickest way to kill an areca palm, especially if the soil does not drain too well.","To prevent roots from becoming water logged use a well draining aerated potting soil mix. A mixture of 1 part peat, 1 part pine bark and 1 part coarse sand is one possible good mix.","When re-potting – take care not to disturb the plant too much and only sit it as deep as it was previously in the soil (see marks on the cane from the soil to measure the previous level). This plant prefers being pot bound to a certain degree, so re-pot every three years.",During spring and summer feed with a palm fertilizer or just a standard diluted feed. After re-potting with new potting mix do not use fertilizer for 2 months.,"Normal room humidity is usually fine; however, dry air turns leaf tips brown (this is common).","Propagation is done with seeds, but it’s time consuming and quite difficult. You’ll need to be able to keep temperatures at around 80°F (26°C) and provide above average humidity conditions. Using a heated propagator is best used to maintain the correct temperate and humidity levels.",,"Areca, butterfly, or cane palm", Dypsis lutescens [syn.] Chrysalidocarpus or areca lutescens (botanical/scientific).
South America.,Height 6ft indoors (much higher outdoors when climbing).,Toxic to cats and dogs.,Provide bright light without direct sunlight to prevent the leaves from getting scorched. Set back a few feet from a window that receives sun would be a nice spot. If you notice more growth on one side then turn the pot because that side is likely to be receiving more light (this will even grow out).,Any decent peat-based soil potting mix will suffice.,Temperatures of at least 60-85 ºF (15-29 ºC) need to be maintained year-round. This species may cope with 50 ºF (10 ºC). Anything lower can kill off your plant.,During spring-summer provide the plant with a diluted liquid feed once every two weeks. After summer stop feeding because the plant will no longer produce new growth to nourish.,Repot once every two years. After it has reached the growth you want – keep the same size pot and just make a new soil change every two years.,"In its natural habitat, the Arrowhead plant receives plenty of humidity, however, in temperate regions most homes are suitable. Try to avoid dry air from heating systems (place water in containers to improve within the room or let air in through the windows – not too cold though). Misting the leaves is a good approach to improving humidity.","Between spring and summer, you can take a 4in stem tip cutting with only one or two leaves (remove others). If a tip has new growth use that – it will propagate easier. Dip the cut into rooting hormone then plant in slightly moist potting soil. Water when the soil becomes dry then once new growth appears treat the plant the same as the parent. This plant can begin growing well when placed in water to begin rooting then pot it up.",Between spring and summer you can take a 4in stem tip cutting with only one or two leaves (remove others). If a tip has new growth use that – it will propagate easier. Dip the cut into rooting hormone then plant in slightly moist potting soil. Water when the soil becomes dry then once new growth appears treat the plant the same as the parent. This plant can begin growing well when placed in water to begin rooting then pot it up.,,"Arrowhead Plant or Arrowhead Vine, Goosefoot Plant"," Syngonium Podophyllum, also named Nephthytis Podophyllum (botanical/scientific)."
South East Asia and East Australia.,Height 2ft.,"Non toxic for cats, dogs","Room temperatures between 65-75ºF (18-24ºC) are ideal, and no lower than 55ºF (13ºC).","Most books and guides will agree that bright light without direct sunlight should be provided. However, providing some direct sunlight is great for the Bird’s nest fern to grow well, but you need to only provide some morning or a small amount of pre-sunset. The fronds can become pale or have scorch marks on them if the sun is too hot. During the winter the sun is much less harmful to the plant.","This is a species that loves it’s soil to remain moist at all times, but not soggy. Water around the edge of the center rosette to avoid the water becoming stagnant in the center, which may cause rot.",A peat based potting mix is required. 2 parts peat and 1 part perlite (maybe a little less) is one mixture that will be fine. A peat based mixture with organic material is also good.,"The Asplenium nidus does not need a pot change very often because it’s roots are very small. Once every 2 years is advised for a mature species and once a year while it’s young. These do not generally have a problem with becoming root bound, but have more of an issue with staying stable in the pot – this is because the roots are small and they’re usually attached to a tree making their own mount. Watch out to see if the plant is becoming unstable and move to a larger pot if it is.",From April – September feed the plant with a weak diluted fertilizer every 2 weeks to encourage new growth and healthy looking leaves.,"Humidity may need to be improved if it becomes low and the plant is showing signs of being affected by dry air. You can improve the humidity by standing the plant in a humidity tray, a tray of peat moss or use an electronic humidifier.","These are propagated by spore sowing which is very difficult for the average indoor grower to carry out. Many ferns can be propagated by division, not this species though.",,Bird’s Nest Fern, — Asplenium Nidus (botanical/scientific).
America.,"Fronds, length and height approx 3ft max.","Non toxic for cats, dogs",The ideal room temperatures for Boston ferns is between 60-75ºF (16-24ºC). No lower than 55ºF (13ºC). Avoid warm air from indoor heating and cold drafts.,"In their natural habitat these ferns will be provided small amounts of sunshine under trees, shaded. The best light conditions to provide is indirect sunlight, although a small amount of sunlight (when it’s not too hot) encourages growth. Filtered sunlight through net curtains works well. You may want to rotate the plant to encourage even growth of the fronds.","Moist soil at all times is advisable, without the soil becoming soggy.",Peat moss potting soil mixes are best suited with perlite added combined with all-purpose soil. The soil needs to be able to retain some water but also have the ability to drain fairly well. Too much peat moss then water can become clogged and too much perlite with all-purpose will drain too quickly.,Re-potting is done during spring once every 2 years while it’s growing fast to a pot size bigger. Still change the top soil each spring even if a pot change is not required.,A balanced fertilizer diluted given to the plant every 2 weeks should suffice. Feed from April – Sept and don’t feed after re-potting and changing the soil for one month (enough nutrients will be available in the new soil).,"All ferns prefer fairly high humidity levels, however, the Boston fern is slightly more resilient and can tolerate lower levels. If you can….increase levels with a humidifier and not a humidity tray because your likely to keep the plant in a hanging basket or similar, so the plant cannot be placed in a tray.",These are propagated either by division or separating runners. The runners are small plantlets that grow from the mother plant that you will have to look out for and remove once they have grown enough to separate from the mother plant and survive independently. Dividing the plant into sections is the most popular propagation method carried out during spring. You can divide the fern into how many new plants you want by cutting though the root system for the section you require.,,Boston Fern, — Nephrolepis Exaltata ‘Bostoniensis’ (botanical/scientific).
China and Taiwan.,Height 14 feet (4 meters). Must be pruned to keep the tree at a manageable size indoors.,"Non toxic for cats, dogs","It is almost impossible to upset the temperature of the Broadleaf Lady Palm. It will happily tolerate temperatures from 20-100°F (-6-37°C), and can survive short stays outside of this temperature zone.",This palm enjoys indirect sunlight. Full sunlight will injure the leaves.,"Rhapis excelsa demands soil that is constantly moist, but never soggy. Do not permit standing water to collect, as it will rot the root system.","Although tolerant of many soil types, this plant’s standing favorite is African Violet potting soil mix.","This plant rarely requires fertilizer. You may use a balanced 10-10-10 mixture, but it is very easy to over-fertilize and injure the plant.","This plant rarely requires fertilizer. You may use a balanced 10-10-10 mixture, but it is very easy to over-fertilize and injure the plant.",The Broadleaf Lady Palm is tolerant of any humidity offering. Misting regularly is advised during warmer months.,"When propagating from seeds, this plant will require 7 years of care before it reaches house plant size. Propagation usually takes place from the rhizome root system. You may dig down and break off several stems from the existing root system at any time without fear of harming the plant.",,Broadleaf lady or little lady palm, Rhapis excelsa (botanical/scientific).
Canary Islands.,Height 6ft indoors.,"Non toxic for cats, dogs","Happily tolerate temperatures from 20-100°F (-6-37°C), and can survive short stays outside of this temperature zone.","The Canary date palm loves it’s sunlight. Your best to provide it a combination of sunlight and shade, which makes an east or west facing window a good spot to place your plant.",AVOID over-watering and don’t allow the soil to lack good drainage. I would allow the soil to become slightly dry at the top and then water.,A peat based potting mix with good drainage is best used. Two parts peat and one perlite or sand works fine. Fine pine bark works well within a mix too.,"You only need to re-pot this palm when it has become pot bound. Every 2 years you can top dress the soil by removing the top few inches and replacing it, then every 4 years completely renew the soil and check the root systems size and health. Roots may need pruning.",I always use a feed specifically for palms because they are very sensitive to being over fed and need the right balance of nutrients suitable for them. Keep in mind that your b,Average room humidity is fine and mist leaves during summer.,Propagate from seed. Temperatures of approximately 80°F (27°C) are required – making propagation difficult for the average grower.,,Canary Island Date Palm, Phoenix Canariensis (botanical/scientific).
Japan & Taiwan.,Height 36 in (91 cm).,Non-toxic to cats and dogs.,Average warmth is fine of approximately 60-75°F (15-24°C) and no lower than 45°F (8°C). They will tolerate much lower temperatures.,"A brightly lit room is good but not essential. They’re fine with low levels of light, but it’s best to keep them out of direct sunlight which will damage the leaves.",Water once the top one inch of soil becomes dry. Water less during winter and do not over water. Over watering to the degree that the soil becomes soggy for a period of time – can cause the plant to die. The Aspidistra elatior is drought tolerant so if it misses being watered even for a month it will look unwell but be right back with you once care and water is given again.,Most well draining potting mixes will suffice and good drainage holes at the bottom of the pot is advised.,Re-pot only when needed (spring) or once every 2 – 3 years.,"During the main growing season (spring – summer) feed with a balanced liquid fertilizer which is diluted, once a month.",Average house humidity is advised but the cast iron plant can tolerate dry air conditions.,Propagate by division when its re-potting time.,,Cast iron plant, Aspidistra elatior (botanical/scientific).
Tropics and subtropics of Asia.,Height 3ft.,"Toxic to cats, dogs, and horses.",Temperatures between 65-80 ºF (18-27 ºC) are ideal. Lower than 60ºF (15ºC) is not healthy for this plant and can cause dark patches on the leaves. If the leaves begin to curl and the edges turn brown the temperature is probably too low or cold drafts may be affecting the plant.,"The most common advice I have been given for the Aglaonema is the darker the leaves and stalks, the less light is needed. I would say to be safe a bright room with the plant sitting in a shaded spot is best. Avoid direct sunlight.",Keep the soil moist at all times. Water less in the winter.,A peat-based potting soil mixed with part perlite or sand to improve drainage is ideal medium or any other well-draining potting mix.,Re-pot once every two or three years during spring. They like to become slightly root bound – so don’t worry if they seem to show some roots through the bottom of the pot.,"From spring until the end of summer, they like to be fed with diluted liquid fertilizer.",Average to high humidity is needed. Increasing the humidity levels of a room “especially if the room has artificial heating” will improve the plant’s growth and prevent leaves from becoming dry and shrilling up.  This can be done by spraying or a pebble tray.,These are best propagated by dividing the root with a few stalks and leaves attached during the growing season of spring and summer. Stem cuttings may also be used.,Over the years mealy bugs have proven to be attracted to this plant and cause problems. Red spider mites have also been known to cause problems.,Chinese evergreen," — A. commutatum, A modestum, A pictum, and others. (botanical/scientific)."
Various pacific ocean areas.,"Height 5 in/13 cm, diameter depends on pot size and plant maturity.",Toxic to cats and dogs.,"Nertera granadensis prefers temperatures on the cooler side. The plant should remain at 55-65ºF (13-18ºC) all year round. Occasional temperature spikes as high as 80ºF (26ºC) and low as 40ºF (4ºC) are tolerated, but must be remedied within a week for the plant’s health. Temperatures above 65ºF (18ºC) during flowering will result in no berries produced during that season.","This plant demands a source of light that is bright, yet indirect, in order to maintain its health.","Requires different watering demands depending upon the time of year that you are in. During the spring and summer, this plant should be kept moist at all times. Soil should be watered whenever it begins to feel dry, but never kept soggy. During summer months, the plant should remain on a saucer of wet pebbles to offer the increased moisture demanded. In autumn and winter, the plant’s soil should be permitted to dry almost completely before watering again.","This plant possesses a shallow root system. As such, the pot does not need to be more than a few inches deep. One part potting mix to one part perlite or tree bark is the preferred soil choice.","When needed, the coral bead plant should be re-potted in the spring season only. It will remain confined within its available space happily for its entire life, so re-potting is only needed if you desire a larger plant.","A balanced fertilizer, diluted to one-half strength, should be applied to the plant in a misting fashion once a month throughout the year. Do not pour the fertilizer directly onto the soil, as it will sink beyond reach of the shallow root system.","During spring and summer months, this plant requires daily misting of the flowers and berries. In autumn and winter, occasional misting is needed on a weekly basis.","For Nertera granadensis, propagation is best achieved by division. In the spring, pull a clump of the plant away from the mother plant and pot it its own location. Seed and tip cuttings are other propagation methods, but require years to reach maturity.","Plants that are too hot will refuse to produce berries, even after producing flowers. Exposure to excessive sunlight will cause the leaves to burn and the berries to shrivel.","Coral bead, pin cushion plant", Nertera granadensis (botanical/scientific).
Tropical Africa.,4 to 6ft or more as indoors.,Toxic to cats and dogs.,"Temperatures from 60°F – 75°F are ideal. Under 50°F is going to harm the plant which may become noticeable if the leaves begin curling. Try and avoid the plant being near cold drafts, which will also cause harm.","A good mix of sunshine and shade is ideal for this Dracaena, but hardly any direct sunlight. Although it grows quicker and better in bright light you’ll also find it survives and grows well enough in low-light conditions.",I would advise a grower to keep the soil slightly damp to the touch and in the winter slightly dry. Don’t use cold water as it will shock the plant.,Most good drainage potting soil mix types are fine to use as long as it has good drainage.,I would suggest repotting once every 2 -3 years and a pot one size bigger if it’s becoming terribly pot-bound. Slightly pot-bound is fine. A new container is ideal with drainage holes in the bottom. The corn plant thrives well in the standard commercial pot mix.,"From April until September use a balanced liquid fertilizer that’s diluted – once every 2 – 3 weeks, whilst it’s growing.",Normal room humidity levels are fine.,"These are quite easy to propagate from tip or stem cuttings that include a node in a jar of water, best done in spring or late summer. You can also cut a new or old rosette and re-plant it. After replanting keep the soil moist and mist the leaves which will encourage the plant to grow. A tall plant can be propagated using the air layering method.","Corn Plant Problems include scale insects, spider mites, mealybugs, and thrips are the most common pests for the corn plant.The leaves are attacked by these pests causing discoloration and eventually death of the leaf. To treat these pests, wash the leaves and wipe them down using an insecticidal soap or Neem Oil.",Corn plant or cornstalk plant, — D. fragrans (botanical/scientific).
East Asia.,No maximum spread and only a few inches high.,Toxic to cats and dogs.,The pumila is a tough plant and grows well in temperatures from 55 – 75°F (13 – 24°C (can be higher or lower and survive).,Avoid direct sunlight and provide a brightly lit setting. It will also tolerate low lighting conditions.,When you water the plant give it a thorough watering until water seeps through the bottom (during spring and summer) of the container and allow the soil to stay slightly moist. After giving the plant a thorough watering remove excess water from the tray under the container to prevent causing root rot. During the winter water much less without soaking the soil.,Most well draining and aerated potting soil mixes will suffice.,"The creeping fig does like to be pot bound to a certain degree. However, it likes to spread it’s roots just like it does outdoors and in it’s natural habitat, so you are best to re-pot it every two years and cut back roots which are outside the main root section. If you’re increasing the pot size and want the plant to grow more you do not need to cut back any roots. Cutting back roots should be done during spring when pruning is done.",Dilute a liquid fertilizer and feed once a month during spring a and summer.,Normal room humidity is fine.,These are easily propagated by taking stem cuttings and when re-potting them.,,Creeping or climbing fig," — Ficus pumila, [syn.] ficus repens (botanical/scientific)."
"Europe, Asia, and Africa.",Height 1 – 2.5ft.,Not known.,The ideal temperature to provide is between 65-75ºF (18-24ºC) for this plant. The minimum is 55ºF (13ºC).,The Cretan brake fern seems to prefer bright light without direct sunlight.,Like other ferns try and keep the soil moist at all times. This one does not give a grower such a hard time if the soil does dry out from time to time (some ferns die).,A peat-based potting mix is suitable for this plant.,I would say re-pot this plant once a year or at least every two years. Once it becomes too big for the pot you could divide the plant to create more ferns.,Feed from April – September with a diluted fertilizer once a month to encourage healthy growth. Use half of what the bottle instructions advise.,"As mentioned above this fern is no different than others in terms of its need for high humidity. Misting alongside placing the plant on a humidity tray, or double potting should do. To double pot have your plant potted and then the container it is to be displayed in will require peat moss to be placed inside – surrounding the inner pot.","This is one of the easier ferns to propagate by division. Divide the plant and a section of the rhizome (by cutting with a sharp knife) during spring. You need at least two fronds and a section of the rhizome. This plant also produces spores on the underside of the leaflets which are a type of seed growing on the plant that can be propagated, but it is easier to follow the division method.",,Cretan Brake Fern, — Pteris Cretica (botanical/scientific).
"South India, Sri Lanka, Malaysia, Western Pacific Islands.",Height 3 ft.,Toxic to cats and dogs.,"Temperatures between 65-80ºF (18-27ºC) are ideal, and no lower than 60ºF (15ºC). Avoid cold drafts from near windows and doors.",As mentioned the croton must have plenty of light to remain healthy in appearance.,Keep the soil moist using tepid water from spring until the end of summer. You will need to water much less during winter.,"A peat (2 parts) based potting mixture with perlite or sand (1 part) added works well, or other well draining types.","Re-pot once every 2 -3 years. Only change the pot to one size larger once the plant has outgrown its pot, although it does like it’s roots to be crowded.",A diluted fertilizer used every 2 weeks is ideal to feed this plant with during the growing season ( spring – fall).,The croton plant enjoys high humidity levels – so where possible improve the humidity of a room with a humidifier or place the plant on a tray of pebbles and water.,"These are fairly easy to propagate during spring with stem cuttings. Use rooting hormone on the tips of the stems, place in potting soil and provide heat at the bottom of the pots, if possible.",,"Croton, Joseph’s coat"," — Codiaeum variegatum, [syn.] Croton variegatum (botanical/scientific)."
New World Tropics from Mexico and the West Indies south to Argentina.,Height 6ft.,Seriously toxic to cats and dogs.,"Most Dieffenbachia plants grow best when the temperature they are exposed to is between 65-75 ºF (18-23 ºC). Outside of this temperature zone, growth will continue at a greatly reduced rate, with tolerance extremes ranging from 40-90 ºF (4-35 ºC) Beyond these extremes, the plant will stop growing and may die with prolonged exposure.","This plant prefers bright, indirect sunlight for optimal growth. It will accept lighting conditions up to full shade and continue stunted growth. Full sun will burn the leaves.","For the best results, keep Dieffenbachia plant’s top inch of soil moist at all times. It will tolerate extended periods of watering neglect, but the leaves will begin to shrivel. Watering makes the leaves stiffen. Before moving the plant, allow the soil to dry out. This will give the leaves a more rubbery texture which will better survive the handling process.","This plant is not picky about its soil conditions. It will grow in almost any soil mix except sand and orchid mixtures. For best results, a one-to-one mixture of potting soil and perlite should be used.","This plant needs to have its root density checked annually in the spring. If the roots are becoming dense, re-pot into a size bigger pot. Reduce watering for a week before the transplant.","To encourage your plant to grow faster, you may introduce a full-strength mixture of standard, balanced fertilizer once a month. Over-fertilization will cause the plant to start dropping leaves.","For the best results, keep the Dieffenbachia plant’s top inch of soil moist at all times. It will tolerate extended periods of watering neglect, but the leaves will begin to shrivel. Watering makes the leaves stiffen. Before moving the plant, allow the soil to dry out. This will give the leaves a more rubbery texture which will better survive the handling process.","This plant propagates best from new growth cuttings or from breaking away young stems that grow on the side of the plant. Place these sideways in moist sand until roots begin to show, then transfer them upright to the soil.",,"Dumb cane, leopard lily"," — Dieffenbachia (botanical/scientific). Genus Dieffenbachia includes more than 100 species, many of which have ornamental value."
Southeast Asia.,Height 1 – 2 ft .,Toxic for cats and dogs.,"Bright light, but no direct sunlight, and shaded for a good part of the day in the summer, if it’s warm and humid enough.","Bright light, but no direct sunlight, and shaded for a good part of the day in the summer, if it’s warm and humid enough.",Water a little but often – keeping the soil moist at all times. Water much less during winter.,Use a fast-draining peat-based potting mix.,These can be re-potted every spring but only use a pot one size bigger if it’s become very root bound.,Feed with a diluted balanced fertilizer from spring every 2 weeks and stop at the end of August then start again at the beginning of spring.,These plants like slightly higher humidity levels than many other plants. You may need to raise the humidity levels in a room artificially by placing the plant in a humidity tray with pebbles or using a humidifier.,These are usually propagated by dividing the plant when it’s being re-potted in spring.,,Elephant’s ear – Alocasia Polly – African mask(common). Alocasia Amazonica (botanical/scientific).,
Southern Europe.,"4ft tall and 3ft spread, small tree (much more outdoors).",Not known.,Average room temperatures are fine. This a cold hardy palm and will not have a problem in temperatures as low as 40ºF (4ºC).,"Bright light is preferred. Some sunlight and shade during the day is ideal, but not too much direct sun.",During spring and summer water frequently keeping the soil moist. After this period allow the top soil to become slightly dry before watering again. The pot must allow water to drain well and the soil.,"A fast draining potting soil mix will suffice, using a peat and sand mix or peat and perlite.","Palms generally don’t like to be disturbed, so avoid re-potting often. Once every 3 years will do the trick.",Feed approximately once each month with a diluted liquid fertilizer during spring and summer.,"Normal room humidity is fine. If the room during winter has the central heating switched on high, mist the leaves. The leaves can also be misted during the summer. Cool air, but not cold drafts is good for the palm.","Propagated from seeds, the European fan palm needs temperatures of 80ºF (27ºC) which makes them difficult for the average grower to propagate. These palms also produce suckers (shoots growing) which can be detached and propagated.",,"European fan, Mediterranean dwarf palm, and Dwarf fan palm", Chamaerops humilis (botanical/scientific).
Tropical Western Africa,,"Toxic to cats, dogs and horses","60 to 85 °F is the ideal temperature, should not be less than 55 °F",Bright indirect sunlight or part shade,"Moist soil, water after the top layer of soil dries","Loamy, sandy, well-drained, Acidic (<6.0)",Annually during the spring season,Normal houseplant liquid fertilizer,Medium or above average relative humidity,Seed and vegetative propagation,,Fiddle-leaf fig,Ficus lyrata
,Height 6ft.,Pothos is Toxic due to calcium oxalate crystals but thankfully is not fatal.,"To keep this plant as healthy as possible, keep it at temperatures between 60-85 ºF (15-29 ºC) year-round. It will withstand occasional cold snaps down to 50 ºF (10 ºC), but below this, the plant will die.","This plant does best in partial shade or indirect light conditions year-round. Too much light will burn the leaves, causing them to lose their marbled quality.",The top 2 to 3 inches of soil should dry between waterings. Root Rot will develop due to overwatering so watch the leaves to help decide when to water.,A pot mixture used for cactus plants that drain well will suffice. Adding gravel or small pebbles at the bottom first few inches of the pot will encourage drainage.,"When Golden Pothos becomes tired of living in its current pot, it will let you know by sending out aerial roots in search of additional soil or by breaking the pot. When this happens, re-pot into a size larger pot with drainage holes, then water thoroughly.","If desired, a balanced fertilizer can be offered to this plant every other week. Fertilizer is only required for the plant’s health if the soil quality is poor.",This plant prefers normal household humidity during the summer months. It should be given additional misting every other day during the winter if your home air humidity is exceptionally dry.,This plant prefers normal household humidity during the summer months. It should be given additional misting every other day or a pebble tray during the winter if your home’s air humidity is exceptionally dry.,Pothos are not appealing to most common houseplant pests. Infestations of spider mites and Mealybugs are ones to keep an eye for.,Poisonous for pets:,
Southeast Asia.,Height 2 – 3ft .,Toxic for cats and dogs.,The best temperature for this plant is approximately 65-75ºF + (18-24ºC +) or more.,"A location within a room that gets plenty of light but not indirect sunlight is suitable. Sat back from a south, east or west facing window is good.",During the spring and summer water the plant thoroughly when the top soil starts to become slightly dry to the touch. Cut right back on watering during winter.,Using a fast draining peat based potting mix will do the trick. If your using your own mix it will need to include perlite or sand and bark to improve drainage.,"The Alocasia should not need to be repotted very often after it has matured. Once very 2 years in a slightly bigger pot if it has grown much or if not just make a complete soil change – keeping the same pot. Use a clay pot if you can, because it will help dry the soil out quicker and may improve humidity being under the plant.",During spring until the end of summer use a diluted balanced feed (about half the strength recommended on the bottle) once every 2 weeks.,Mist the leaves as often as possible. You may have to use other methods for increasing the humidity if the plant begins to show lack of humidity issues (brown lea tips or edges are most common signs).,These are usually propagated by dividing the plant when it’s being re-potted in spring.,,"Green Velvet Alocasia, Alocasia Frydek", Alocasia Micholitziana ‘Frydek’ (botanical/scientific).
Southeast Asia and Western Pacific Ocean Areas.,Height 3 – 4ft indoors.,Toxic to cats and dogs.,"Temperatures between 65-80ºF (18-27ºC) are ideal, and no lower than 60ºF (15ºC). Avoid cold drafts from near windows and doors.","A brightly lit spot is ideal, without direct sunlight. Direct sunlight will dry the leaves and possibly scorch them. Without enough light, the plant will not thrive and grow as it should.",I would advise a grower to water the plant thoroughly once the top part of the soil becomes slightly dry. During the winter water is much less. Make sure you have the plant placed in a pot that drains well to avoid causing root rot from waterlogged soil.,"A peat (2 parts) based potting mixture with perlite or sand (1 part) added works well, or other well-draining types with bark.",Re-pot once every two years (approximately) when the plant is young and growing in height. Once it matures you can re-pot once every 3 -4 years and just replace the topsoil the years it’s not re-potted.,Feed with a diluted fertilizer every 2 weeks during the growing season (spring-fall).,If you can – supply cordyline plants with extra humidity by placing them in a tray with pebbles in water or with an electric humidifier. These plants are usually fine though without extra humidity if the air is not dry.,"These are easy to propagate by taking stem tip cuttings and re-potting them. The size of the cuttings does not seem to matter. Rooting hormone can be used on the cutting to be planted, although it’s not essential.",,"Hawaiian ti, good luck, baby doll ti, and others"," — Cordyline fruticosa , [syn.] C. terminalis (botanical/scientific)."
